drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	51e52a6274ab068258d56dfda2374480a7bc76b5d5044cf66c83d9d6	10017087668		EXCLUDED_INACTIVE	false	569	545	false	569	569	false
0	026a5bbf7d431e52fc86251c71230a0c3adb585ad9aea01c6c4fcc2a	9923308560		NON_VOTER_NO	true	592		true	592	592	true
0	e790266828b926d36e2c49cf9bd2e002b8a20d00eeae3a8091182170	9709198233		NON_VOTER_NO	true	580		true	580	580	true
0	04d3cbf430a674cf89ff05eaad320d75e2b48307ebd7b9b415726c02	9306707178		EXCLUDED_INACTIVE	false	560		false	560	560	false
0	c076d1b12d4e1eddfab4cd7c20b29958704ba2cc72166d515707c2f7	9059453895		EXCLUDED_INACTIVE	false	551		false	551	551	false
0	e60a0145088a68f1829ed2486496db4c6c5f680082de92e374d238b6	8517813285		EXCLUDED_INACTIVE	false	530	509	false	530	530	false
0	a0b48f96b988e7db7357144a81134499ee970495fee3a16d799c6ac6	8478603933		NON_VOTER_NO	true	586		true	586	586	true
0	7aa81d5db89bc692fc0d244a99c25876808506b7bbb66d50d8d46345	8106716866		NON_VOTER_NO	true	594	574	true	594	594	true
0	8dec6b9980ab9838af5c5cdef9f04e6fcf1ba49104394de73f5355f0	7983497888		NON_VOTER_NO	true	594		true	594	594	true
0	db975787a0e6f6887bf8e69f8f1204720d27310013f7b5c510ed4881	7934337378		NON_VOTER_NO	true	584		true	584	584	true
0	116c7dbf798e2823f9cc29858ff9b3690ba47013918381d5e4154c2a	7858320048		EXCLUDED_INACTIVE	false	551	528	false	551	551	false
0	d1815ac44380afe9a6b1f8b8662b975b537bb525e332c82f75e45d33	7593297306		NON_VOTER_NO	true	591	571	true	591	591	true
0	43e855e97c0af9f689ade6e91fee3a8e62692a3e756c0618209081da	7240153978		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	002e87e32c1735bef2af2825943a9c06714857d1fc19385b86e429a3	7037958724		NON_VOTER_NO	true	585	562	true	585	585	true
0	9c06c84d273e317862ad15fd66126a301869d13ebdf33faced39d193	7018453407		NON_VOTER_NO	true	589	569	true	589	589	true
0	ad7a04f9513c7c74c116214d81983a396bd73ea4c62a90251744827c	6854275155		NON_VOTER_NO	true	592	572	true	592	592	true
0	7ce99b8ff5ac60933cfeb60a354fe7196d6fd11a50b8f57042d08add	6722373718		NON_VOTER_NO	true	594	574	true	594	594	true
0	7751539e7ffcf1d49f29f7fba70f8814611c9e252994d057501bb005	6618620784		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	8840476f9b8750f03170bf45ac9903a559446fc3a404f95a871f06e0	6470172519		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	f22c9cfc562c577027b0cfe0192a5cbd1d642c00cf8cdba635e84a66	6242548517		EXCLUDED_INACTIVE	false	529	508	false	529	529	false
0	3f3dbc25031e0cf8d6097606012338df0fe27e8ff336f854129335d0	6136651002		EXCLUDED_INACTIVE	false	557		false	557	557	false
0	628103d01d589163d29097eb7df41a579a2f77c0bf1dfd075c9e9c6e	6107890031		EXCLUDED_INACTIVE	false	556		false	556	556	false
0	308eef08daaed7a4eca1d0a514a85f1c81ab76a91b59dcb70749045d	5849026436		EXCLUDED_INACTIVE	false	574		false	574	574	false
0	e83b1dfbd8b3c0a40a3785099a9bf66d4b9aa25e1e41fa33a387ab94	5728128461		EXCLUDED_INACTIVE	false	561	540	false	561	561	false
0	2de074cf12c6cf77dc98910af432a6ef6a75efa1e798a5094ae555ed	5615677738		NON_VOTER_NO	true	594	574	true	594	594	true
0	20fa2d28f20042903fc5bf4ff8270f98392a69ca6ef2e5629850ab9c	5590834723		NON_VOTER_NO	true	594		true	594	594	true
0	78c2a53800e4365e1469c3798215398c19cc520672adc2db193e1008	5580931869		EXCLUDED_INACTIVE	false	533		false	533	533	false
0	0c8f42a5f1bbd7860be38b8e1b04653aa596557fe680eb4a1db76b47	5516976731		NON_VOTER_NO	true	594		true	594	594	true
0	0c96ff94421746866bd150b1b9e81b0eca8eff30b06fcdeadfdb4115	5516362278		NON_VOTER_NO	true	586	566	true	586	586	true
0	b34ad061c951d90fabc4ca93e027ad48a65e8bf4b5aca4d207d5cb49	5334372786		EXCLUDED_INACTIVE	false	560		false	560	560	false
0	6c0c4af6c54a2d42ec6b0a5d1c5b778e355d37b6646ae434cb717f19	5299998642		EXCLUDED_INACTIVE	false	567		false	567	567	false
0	f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f	5085921135		EXCLUDED_INACTIVE	false	539	516	false	539	539	false
0	d943e2eede3adc3d5cef36ac8b0b621dd56e9b71ecf13f7981c691b5	4794409650		EXCLUDED_INACTIVE	false	570		false	570	570	false
0	11561dd231e8b98491d6562f36bc5bcf1b9608ef74ec81e1b366bcd4	4429659676		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	e82cf4d87284bc9c8acddf8e3fdfc4961aaf3efb873a405133b95cc7	4228062420		NON_VOTER_NO	true	594		true	594	594	true
0	8b375fc4e1dc1dec8c89527fadfa2a4b47a5dd9eb0322ca70e51d4a8	4168251946		EXCLUDED_INACTIVE	false	558		false	558	558	false
0	89dccb56cc98729fa5310b11707fba82f242f27684abe1b08d709cb0	4064934871		EXCLUDED_INACTIVE	false	527		false	527	527	false
0	e4e21391063ce909a1e1f40f8277dca21333b7184278321cb82cff4f	4026586902		EXCLUDED_INACTIVE	false	546	523	false	546	546	false
0	b7b964827b67f35f03b4b5384e7dad845c450ad01b7b99a497da8127	3887329941		EXCLUDED_INACTIVE	false	571		false	571	571	false
0	6a95054761d27b7ae85450a0f6aa43661cb01c95c6f23b0c5901fc8c	3886359074		NON_VOTER_NO	true	588	568	true	588	588	true
0	528683449787bae970c9c9ec2ed122282e4ea3c16ed3d9d296b9513c	3872680559		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	8771428933e3df007a317a13e03fe6997b9821fcd00d37b92e3c1be3	3735921602		EXCLUDED_INACTIVE	false	527	529	false	551	551	false
0	576a7d0ccd5089ac9c194f1df87a7c760b73f2b1c50ef03c724bccd9	3710405166		EXCLUDED_INACTIVE	false	539		false	539	539	false
0	0c36e0025ba9b325d4eb3add2e8256221a557fc0813f454aa6a38f9d	3611559259		NON_VOTER_NO	true	580		true	580	580	true
0	7680a8c42090ef7cdb714254ac00173559b37ec6c57208e5ea0e94da	3570771469		NON_VOTER_NO	false	575		true	575	575	true
0	42e0a985b6d009c56364990543c40949a79b083027c5eaea5bb4721e	3312846462		NON_VOTER_NO	true	594	574	true	594	594	true
0	91267d9caaec4100d1ca3ccd6dc6955329f232168c173bfba13722d4	3217406491		EXCLUDED_INACTIVE	false	554		false	554	554	false
0	bf4ebdc082be3717401df38764ce071749d5b947be6103708b6c94e2	3189573158		NON_VOTER_NO	true	586		true	586	586	true
0	fe7b46a81237fdb2113f7a85792e7fb480fb43b8389fbbcfa95f94da	3188325540		EXCLUDED_INACTIVE	false	567		false	567	567	false
0	4b7c8b841488766152d1afcf13a2c39206ad0d9c91985723f590981b	3028008763		EXCLUDED_INACTIVE	false	560		false	560	560	false
0	9f3fed49d57c5a764a74d6062e946482f2b09a8d63a5ebedbef1459d	2630815585		EXCLUDED_INACTIVE	false	560		false	560	560	false
0	366d4ac51dc361a813da5db9ea5fe5da01be162e9deabd4fe3db133f	2579778914		NON_VOTER_NO	true	577	554	true	577	577	true
0	acfbf86dad3862c43bef1495eb2620fa1ad3a88b08226844e92b5dca	2542089016		NON_VOTER_NO	true	576		true	576	576	true
0	7ef0ddaddf8fcabdb535a70a3cfd934d346ac57d441f630f7c03215a	2528538349		EXCLUDED_INACTIVE	false	559		false	559	559	false
0	63b2c1c3163312015736aa64b5461683d96851035372c0aa5d39591f	2390074941		NON_VOTER_NO	true	577	553	true	577	577	true
0	9677286bc11378a4fa8a01876c7cf7fa9e405b611e6ba3c6939a1723	2387549914		NON_VOTER_NO	true	595	575	true	595	595	true
0	c4d16d752a14bf127f0b0027e59c86dfe9de4030e793f81ce31e36ce	2382901002		EXCLUDED_INACTIVE	false	558		false	558	558	false
0	b970d1b03977002774106c12cce4e123c3b2fac341e3a13b0ec198f4	2279868259		EXCLUDED_INACTIVE	false	559		false	559	559	false
0	bde63530a161067431a5516e7ef373033a0c31926cceccc7406176e5	2214159625		EXCLUDED_INACTIVE	false	555		false	555	555	false
0	5a18801c4d87e41b75a98b77b20b2a15d4690eba070782e684896cc4	2138689407		EXCLUDED_INACTIVE	false	537		false	537	537	false
